a7a6 node 2, Score -35, alpha -30000, beta 30000
a7a5 node 3, Score -35, alpha -35, beta 30000
b7b6 node 4, Score -35, alpha -35, beta 30000
b7b5 node 5, Score -35, alpha -35, beta 30000
c7c6 node 6, Score -30, alpha -35, beta 30000
c7c5 node 8, Score -30, alpha -30, beta 30000
d7d6 node 9, Score -15, alpha -30, beta 30000
d7d5 node 10, Score 0, alpha -15, beta 30000
e7e6 node 11, Score 0, alpha 0, beta 30000
e7e5 node 12, Score 0, alpha 0, beta 30000
f7f6 node 13, Score 0, alpha 0, beta 30000
f7f5 node 14, Score 0, alpha 0, beta 30000
g7g6 node 15, Score 0, alpha 0, beta 30000
g7g5 node 16, Score 0, alpha 0, beta 30000
h7h6 node 17, Score 0, alpha 0, beta 30000
h7h5 node 18, Score 0, alpha 0, beta 30000
b8c6 node 19, Score 0, alpha 0, beta 30000
b8a6 node 20, Score 0, alpha 0, beta 30000
g8h6 node 21, Score 0, alpha 0, beta 30000
g8f6 node 22, Score 0, alpha 0, beta 30000
Store pv move d7d5 at 65534

Depth:1 score:0 move:d7d5 nodes:22 pv d7d5
a2a3 node 25, Score -5, alpha -30000, beta 30000
a2a4 node 26, Score -5, alpha -5, beta 30000
b2b3 node 27, Score -5, alpha -5, beta 30000
b2b4 node 28, Score -5, alpha -5, beta 30000
c2c3 node 29, Score 0, alpha -5, beta 30000
c2c4 node 31, Score 0, alpha 0, beta 30000
e2e3 node 32, Score 15, alpha 0, beta 30000
e2e4 node 34, Score 15, alpha 15, beta 30000
f2f3 node 35, Score 15, alpha 15, beta 30000
f2f4 node 36, Score 15, alpha 15, beta 30000
g2g3 node 37, Score 15, alpha 15, beta 30000
g2g4 node 38, Score 15, alpha 15, beta 30000
h2h3 node 39, Score 15, alpha 15, beta 30000
h2h4 node 40, Score 15, alpha 15, beta 30000
b1a3 node 41, Score 15, alpha 15, beta 30000
b1c3 node 42, Score 20, alpha 15, beta 30000
b1d2 node 43, Score 20, alpha 20, beta 30000
g1f3 node 44, Score 20, alpha 20, beta 30000
g1h3 node 45, Score 20, alpha 20, beta 30000
c1d2 node 46, Score 20, alpha 20, beta 30000
c1e3 node 47, Score 25, alpha 20, beta 30000
c1f4 node 48, Score 25, alpha 25, beta 30000
c1g5 node 49, Score 25, alpha 25, beta 30000
c1h6 node 50, Score 25, alpha 25, beta 30000
d1d2 node 51, Score 25, alpha 25, beta 30000
d1d3 node 52, Score 25, alpha 25, beta 30000
e1d2 node 53, Score 25, alpha 25, beta 30000
Store pv move c1e3 at 65534
	d7d5 node 53, Score -25, alpha -30000, beta 30000
a2a3 node 55, Score 25, alpha -30000, beta 25
	a7a5 node 55, Score -25, alpha -25, beta 30000
a2a3 node 57, Score 25, alpha -30000, beta 25
	b7b6 node 57, Score -25, alpha -25, beta 30000
a2a3 node 59, Score 25, alpha -30000, beta 25
	b7b5 node 59, Score -25, alpha -25, beta 30000
a2a3 node 61, Score 25, alpha -30000, beta 25
	c7c6 node 61, Score -25, alpha -25, beta 30000
a2a3 node 65, Score 15, alpha -30000, beta 25
a2a4 node 66, Score 15, alpha 15, beta 25
b2b3 node 67, Score 15, alpha 15, beta 25
b2b4 node 68, Score 15, alpha 15, beta 25
c2c3 node 71, Score 20, alpha 15, beta 25
c2c4 node 74, Score 25, alpha 20, beta 25
	c7c5 node 74, Score -25, alpha -25, beta 30000
a2a3 node 76, Score 10, alpha -30000, beta 25
a2a4 node 77, Score 10, alpha 10, beta 25
b2b3 node 78, Score 10, alpha 10, beta 25
b2b4 node 79, Score 10, alpha 10, beta 25
c2c3 node 80, Score 15, alpha 10, beta 25
c2c4 node 81, Score 25, alpha 15, beta 25
	d7d6 node 81, Score -25, alpha -25, beta 30000
a2a3 node 83, Score 25, alpha -30000, beta 25
	a7a6 node 83, Score -25, alpha -25, beta 30000
a2a3 node 87, Score 10, alpha -30000, beta 25
a2a4 node 88, Score 10, alpha 10, beta 25
b2b3 node 89, Score 10, alpha 10, beta 25
b2b4 node 90, Score 10, alpha 10, beta 25
c2c3 node 91, Score 15, alpha 10, beta 25
